0, -0.049973, -0.000739, -5.894631, 홈, -1;
1, 0.232806, -0.020831, -3.605519, none, -1;
2, 0.554996, -0.046775, -4.360183, none, -1;
3, 0.876063, -0.067278, -4.491286, none, -1;
4, 1.184016, -0.092914, -5.312245, none, -1;
5, 1.510619, -0.123659, -4.416073, none, -1;
6, 1.817566, -0.139054, -3.777353, none, -1;
7, 2.154043, -0.152615, -4.373533, none, -1;
8, 2.473976, -0.162021, -4.127846, none, -1;
9, 2.801133, -0.174220, -3.169395, none, -1;
10, 3.192306, -0.204651, -2.353544, none, -1;
11, 3.501540, -0.222945, -2.591181, none, -1;
12, 3.907091, -0.259912, -4.422730, none, -1;
13, 4.243332, -0.280101, -3.652535, none, -1;
14, 4.555348, -0.293302, -2.635516, none, -1;
15, 4.882618, -0.310386, -1.560659, none, -1;
16, 5.202488, -0.323598, -1.578602, none, -1;
17, 5.558372, -0.352534, -1.046946, none, -1;
18, 5.875215, -0.365760, -3.588403, none, -1;
19, 6.182673, -0.387804, -1.927044, none, -1;
20, 6.268592, -0.392368, -4.477043, 1, -1;
21, 3.086291, -0.174624, -0.586549, none, -1;
22, 3.403258, -0.173071, -2.893921, none, -1;
23, 3.726109, -0.188092, -4.523331, none, -1;
24, 4.039993, -0.215904, -2.676204, none, -1;
25, 0.292650, 0.042858, -1.877753, none, -1;
26, 0.607764, 0.038854, -2.123163, none, -1;
27, 0.924878, 0.035261, -3.174078, none, -1;
28, 1.232025, 0.015121, -3.994554, none, -1;
29, 1.547343, -0.004867, -3.158939, none, -1;
30, 1.871432, -0.024497, -0.721245, none, -1;
31, 2.191764, -0.053618, -3.619324, none, -1;
32, 2.511047, -0.077786, -6.054742, none, -1;
33, 2.822429, -0.105691, -5.070645, none, -1;
34, 3.121900, -0.137284, -6.716928, none, -1;
35, 3.423400, -0.165927, -2.507585, none, -1;
36, 3.731642, -0.167020, -2.242292, none, -1;
37, 4.079734, -0.178301, -1.562664, none, -1;
38, 4.379587, -0.216565, -5.397727, none, -1;
39, 4.689676, -0.258069, -1.197755, none, -1;
40, 5.029231, -0.271975, -0.657055, none, -1;
41, 5.333546, -0.291667, -1.615609, none, -1;
42, 5.669241, -0.311272, -1.589732, none, -1;
43, 6.008952, -0.342656, -0.924213, none, -1;
44, 6.306307, -0.352873, 30.563778, none, -1;
45, 6.309997, -0.348359, 61.163845, none, -1;
46, 6.308846, -0.365021, 91.778420, none, -1;
47, 6.326265, -0.042981, 86.116009, none, -1;
48, 6.362972, 0.256266, 84.341833, none, -1;
49, 6.403110, 0.555323, 84.108274, none, -1;
50, 6.445348, 0.853700, 83.067811, none, -1;
51, 6.480225, 1.108904, 83.901812, 2, -1;
52, 6.475277, 1.140797, 115.351827, none, -1;
53, 6.442792, 1.167717, 146.353865, none, -1;
54, 6.396407, 1.173042, 176.464399, none, -1;
55, 6.059880, 1.203018, 173.777621, none, -1;
56, 5.754138, 1.226596, 175.456427, none, -1;
57, 5.450045, 1.240092, 176.820579, none, -1;
58, 5.110759, 1.249608, 174.645710, none, -1;
59, 4.828111, 1.272341, -152.198581, none, -1;
60, 4.816160, 1.262600, -120.825609, none, -1;
61, 4.799040, 1.202796, -90.606277, none, -1;
62, 4.789338, 0.892118, -93.721882, none, -1;
63, 4.777594, 0.579027, -94.476003, none, -1;
64, 4.749172, 0.254298, -92.842338, none, -1;
65, 4.735695, -0.059163, -93.434058, none, -1;
66, 4.728196, -0.237018, -91.734044, 3, -1;
67, 4.741347, -0.247604, -125.148873, none, -1;
68, 4.713551, -0.259834, -155.848989, none, -1;
69, 4.668091, -0.271424, 173.599312, none, -1;
70, 4.355565, -0.241602, 177.878179, none, -1;
71, 4.020566, -0.242224, 179.027550, none, -1;
72, 3.703594, -0.217957, 176.050216, none, -1;
73, 3.397480, -0.193604, 177.644082, none, -1;
74, 3.067418, -0.174908, 177.787816, none, -1;
75, 2.728559, -0.141796, 176.683552, none, -1;
76, 2.424450, -0.113091, 175.513076, none, -1;
77, 2.114451, -0.080679, 175.429365, none, -1;
78, 1.798766, -0.029757, 176.846561, none, -1;
79, 1.497159, -0.022959, 179.480842, none, -1;
80, 1.196602, 0.001408, 176.948618, none, -1;
81, 0.879547, 0.008915, 179.749597, none, -1;
82, 0.553140, 0.024543, 178.895140, none, -1;
83, 0.218188, 0.041758, 177.086233, none, -1;
84, -0.064154, 0.046068, -150.639289, none, -1;
85, -0.075600, 0.043929, -119.228643, none, -1;
86, -0.080434, 0.027109, -85.644329, none, -1;
87, -0.086756, 0.023161, -50.680967, none, -1;
88, -0.085838, 0.028856, -19.672931, none, -1;
end
